Row ID,Bulan,Tahun,Total Day,LOCATION,Region,Position,Pemakaian,Baseline per day,Baseline,,Row ID,Bulan,TAHUN,Total Day,Area,Region,Position,REAL,Baseline per day,BATAS,,month,Realisasi,BASELINE,EFISIENSI kWh 2023,Persentase,,LOKASI,Total Pemakaian 2024,Total Pemakaian 2023,Total Baseline per lokasi 2023,,MONTH,REALISASI,BASELINE PERBULAN 2024,EFISIENSI kWh 2024,persentase,,BULAN,TEMPAT,DASAR,PENGGUNAAN,PENGHEMATAN,RANK
18,JUNE,2023,30,ER ADM,REGION 1,DEPO,170470,5685,170550,,18,FEBRUARY,2024,29,ER ADM,REGION 1,DEPO,163070,-,164866,,,,,,,,,,,,,,,,,,,February,Administrasi,165284,163070,1.30%,14
19,JULY,2023,31,ER ADM,REGION 1,DEPO,166300,5685,176235,,19,FEBRUARY,2024,29,ER LBB,REGION 1,ELEVATED,51551,-,64857,,,,,,,,,,,,,,,,,,,February,Lebak Bulus,67633,51551,23.80%,1
20,AUGUST,2023,31,ER ADM,REGION 1,DEPO,158670,5685,176235,,20,FEBRUARY,2024,29,ER FTM,REGION 1,ELEVATED,70149,-,65357,,,,,,,,,,,,,,,,,,,February,Fatmawati ,68955,70149,-1.70%,16
21,SEPTEMBER,2023,30,ER ADM,REGION 1,DEPO,166130,5685,170550,,21,FEBRUARY,2024,29,ER CPR,REGION 1,ELEVATED,75418,-,71832,,,,,,,,,,,,,,,,,,,February,Cipete Raya,75376,75418,-0.10%,15
22,OCTOBER,2023,31,ER ADM,REGION 1,DEPO,183270,5685,176235,,22,FEBRUARY,2024,29,ER HJN,REGION 2,ELEVATED,31811,-,41371,,,,,,,,,,,,,,,,,,,February,Haji Nawi ,41459,31811,23.30%,2
23,NOVEMBER,2023,30,ER ADM,REGION 1,DEPO,174982,5685,170550,,23,FEBRUARY,2024,29,ER BLA,REGION 2,ELEVATED,33882,-,40308,,,,,,,,,,,,,,,,,,,February,Blok A,39688,33882,14.60%,6
24,DECEMBER,2023,31,ER ADM,REGION 1,DEPO,175086,5685,176235,,24,FEBRUARY,2024,29,ER BLM,REGION 2,ELEVATED,51665,-,57055,,,,,,,,,,,,,,,,,,,February,Blok M,62960,51665,17.90%,4
25,JANUARY,2023,31,ER LBB,REGION 1,STATION ELEVATED,49948,2236,69316,,25,FEBRUARY,2024,29,ER ASN ,REGION 2,UNDERGROND,56468,-,64459,,,,,,,,,,,,,,,,,,,February,Asean,65214,56468,13.40%,8
26,FEBRUARY,2023,28,ER LBB,REGION 1,STATION ELEVATED,46967,2236,62608,,26,FEBRUARY,2024,29,ER SNY,REGION 3,UNDERGROND,240247,-,244386,,,,,,,,,,,,,,,,,,,February,Senayan,263887,240247,9.00%,10
27,MARCH,2023,31,ER LBB,REGION 1,STATION ELEVATED,62114,2236,69316,,27,FEBRUARY,2024,29,ER IST,REGION 3,UNDERGROND,271858,-,277782,,,,,,,,,,,,,,,,,,,February,Istora,319292,271858,14.90%,5
